Epoch,Train Loss,Test Loss
1,6.781,6.695
2,6.4774,6.3569
3,6.2282,6.4704
4,6.0354,6.0355
5,5.8665,5.9311
6,5.7409,6.4971
7,5.6094,5.756
8,5.5025,7.3872
9,5.3774,5.4615
10,5.2746,5.3244
11,5.1659,5.1996
12,5.0745,5.36
13,4.9831,5.3
14,4.9165,5.0388
15,4.8355,5.0057
16,4.7711,4.8487
17,4.7054,4.9242
18,4.6429,4.7517
19,4.5831,4.6059
20,4.5331,4.636
21,4.4869,4.901
22,4.4446,5.467
23,4.4089,4.7759
24,4.3749,5.1004
25,4.3422,4.3819
26,4.3036,4.8084
27,4.2773,4.4095
28,4.249,4.5426
29,4.2205,4.3149
30,4.1964,4.4843
31,4.1794,4.4186
32,4.1475,5.0271
33,4.125,6.47
34,4.1193,4.2687
35,4.0916,4.3206
36,4.0697,4.4459
37,4.0512,4.1706
38,4.027,4.1018
39,4.0173,4.3494
40,4.0,4.313
